id,title,franchise,release_year,genres,vote_average,vote_count,director,top_actors,keywords
22,Assassins,,1995,"Action, Adventure, Crime, Thriller",6.0,394,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore","competition, assassination, cia, bank, cat"
23,Powder,,1995,"Drama, Fantasy, Science Fiction, Thriller",6.3,143,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",teenage boy
24,Leaving Las Vegas,,1995,"Drama, Romance",7.1,365,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands","individual, prostitute, alcohol, casino, love at first sight"
25,Now and Then,,1995,"Comedy, Drama, Family",6.6,91,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch","1970s, female friendship, coming of age, woman director"
26,The City of Lost Children,,1995,"Adventure, Fantasy, Science Fiction",7.6,308,Jean-Pierre Jeunet,"Ron Perlman, Dominique Pinon, Judith Vittet","clone, dream, island, dystopia, aging"
27,Dangerous Minds,,1995,"Crime, Drama",6.4,249,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance","rap music, karate, high school, teacher, amusement park"
28,Twelve Monkeys,,1995,"Mystery, Science Fiction, Thriller",7.4,2470,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","schizophrenia, time travel, post-apocalyptic, dystopia, monkey"
29,Babe,Babe,1995,"Comedy, Drama, Family, Fantasy",6.0,756,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann","pig, affection, talking animal"
30,Dead Man Walking,,1995,Drama,7.3,350,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky","prison, rape, death penalty, despair, therapist"
31,It Takes Two,,1995,"Comedy, Family, Romance",6.1,149,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Ashley Olsen",orphan
32,Clueless,,1995,"Comedy, Drama, Romance",6.9,828,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy","puberty, high school, gay interest, conflict, woman director"
33,Richard III,,1995,"Drama, War",6.9,50,Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent","england, shakespeare, kidnapping, murder, king"
34,Dead Presidents,,1995,"Action, Crime, Drama, History",6.6,80,Albert Hughes,"Larenz Tate, Keith David, Chris Tucker","money, loss of virginity"
35,Mortal Kombat,Mortal Kombat,1995,"Action, Fantasy",5.4,452,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby","martial arts, monster, island, gore, sorcerer"
36,To Die For,,1995,"Comedy, Drama, Fantasy, Thriller",6.7,177,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix","adultery, winter, obsession, television"
37,Se7en,,1995,"Crime, Mystery, Thriller",8.1,5915,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow","detective, drug dealer, rage and hate, insomnia, investigation"
38,Pocahontas,Pocahontas,1995,"Adventure, Animation, Drama, Family",6.7,1509,Mike Gabriel,"Irene Bedard, Mel Gibson, David Ogden Stiers","culture clash, settler, forbidden love, musical, princess"
39,The Usual Suspects,,1995,"Crime, Drama, Thriller",8.1,3334,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri","law, theft, criminal"
40,Mighty Aphrodite,,1995,"Comedy, Romance",6.7,145,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter","prostitute, adoption, independent film, illegal prostitution, child"
41,The Big Green,,1995,"Action, Adventure, Comedy, Family",5.2,41,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders","sport, kids and family, soccer, woman director"
42,The Postman,,1994,"Comedy, Drama, Romance",7.6,181,Michael Radford,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta","island, letter, poet"
43,The Indian in the Cupboard,,1995,"Adventure, Family, Fantasy",5.9,136,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse","puppet, parallel world, toy comes to life"
44,Eye for an Eye,,1996,"Drama, Thriller",5.8,65,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris","rape, gun, self-defense"
45,Mr. Holland's Opus,,1995,"Drama, Family",6.9,115,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas","mentor, deaf-mute, musical, music, disabled"
46,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,1996,Comedy,6.2,192,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones","date, hip-hop, parody, gang, racism"
47,Bio-Dome,,1996,Comedy,4.4,110,Jason Bloom,"Pauly Shore, Stephen Baldwin, Joey Lauren Adams",vegetarian
48,French Twist,,1995,"Comedy, Romance",6.0,43,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat","love triangle, van, woman director"
49,Friday,Friday,1995,Comedy,7.0,513,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long","rap music, parent child relationship, rapper, job"
50,From Dusk Till Dawn,From Dusk Till Dawn,1996,"Action, Crime, Horror, Thriller",6.9,1644,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel","dancing, brother brother relationship, sexual obsession, showdown, sheriff"
51,Fair Game,,1995,"Action, Romance, Thriller",4.1,54,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff","bomb, miami, sex, detective, handcuffs"
52,Screamers,Screamers,1995,"Horror, Science Fiction",6.1,154,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin",man vs machine
53,The Crossing Guard,,1995,"Drama, Thriller",6.1,74,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston","revenge, suspense, independent film, tragedy"
54,The Juror,,1996,"Drama, Thriller",5.5,91,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt","blackmail, court case, son, trial, courtroom"
55,Things to Do in Denver When You're Dead,,1995,"Crime, Drama",6.7,87,Gary Fleder,"Andy García, Christopher Lloyd, William Forsythe","father son relationship, bounty hunter, boat, coffin, paranoia"
56,White Squall,,1996,"Action, Drama",6.3,86,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage","diary, sailing, survival, coming of age, teenage boy"
57,Dunston Checks In,,1996,"Adventure, Comedy, Family",5.1,59,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd","boss, fistfight, bully"
58,Black Sheep,,1996,Comedy,6.0,124,Penelope Spheeris,"Chris Farley, David Spade, Grant Heslov",woman director
59,Nick of Time,,1995,"Crime, Drama, Thriller",6.1,190,John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton","assassination, politics, los angeles"
60,Mary Reilly,,1996,"Drama, Horror, Romance, Thriller",5.7,77,Stephen Frears,"Julia Roberts, John Malkovich, George Cole","servant, monster, laboratory, 19th century"
61,Vampire in Brooklyn,,1995,"Comedy, Horror, Romance",4.5,113,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne",vampire
62,Beautiful Girls,,1996,"Comedy, Drama, Romance",6.6,103,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish",
63,Broken Arrow,,1996,"Action, Adventure, Drama, Thriller",5.7,459,John Woo,"John Travolta, Christian Slater, Samantha Mathis","helicopter, river, captain, underground, mexican standoff"
64,La Haine,,1995,Drama,7.9,695,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui","paris, robbery, police brutality, hip-hop, gun"
65,City Hall,,1996,"Drama, Thriller",6.0,67,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda","corruption, undercover, war on drugs, mayor, drug dealer"
66,Bottle Rocket,,1996,"Comedy, Crime, Drama",6.8,285,Wes Anderson,"Luke Wilson, Owen Wilson, Lumi Cavazos","brother brother relationship, robbery, burglar, motel, independent film"
67,Happy Gilmore,,1996,Comedy,6.5,767,Dennis Dugan,"Adam Sandler, Ben Stiller, Christopher McDonald","loss of mother, loss of father, sport"
68,The Bridges of Madison County,,1995,"Drama, Romance",7.3,397,Clint Eastwood,"Meryl Streep, Clint Eastwood, Annie Corley","adultery, love at first sight, photographer, wife husband relationship, love of one's life"
69,Muppet Treasure Island,The Muppet,1996,"Action, Adventure, Comedy, Family",6.5,93,Brian Henson,"Tim Curry, Kevin Bishop, Jennifer Saunders","island, puppet, treasure hunt"
70,Braveheart,,1995,"Action, Drama, History, War",7.7,3404,Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau","individual, scotland, in love with enemy, legend"
71,Taxi Driver,,1976,"Crime, Drama",8.1,2632,Martin Scorsese,"Robert De Niro, Cybill Shepherd, Harvey Keitel","vietnam veteran, taxi, obsession, drug dealer, vigilante"
72,Rumble in the Bronx,,1995,"Action, Comedy, Crime, Thriller",6.5,245,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip","new york, martial arts, supermarket, gang war, gang"
73,Boomerang,,1992,"Comedy, Romance",5.4,139,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry","ladykiller, success"
74,Chungking Express,,1994,"Comedy, Drama, Romance",7.9,249,Wong Kar-wai,"Brigitte Lin, Tony Leung Chiu-Wai, Faye Wong","ex-girlfriend, drug smuggle, girlfriend, romance, hong kong"
75,Flirting with Disaster,,1996,"Comedy, Romance",6.3,66,David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni",independent film
76,The Neverending Story III: Escape from Fantasia,The Neverending Story,1994,Fantasy,4.4,105,Peter MacDonald,"Jason James Richter, Melody Kay, Kevin McNulty","flying, magic"
77,Jade,,1995,"Action, Mystery, Romance, Thriller",5.1,45,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri","san francisco, investigation, murder"
78,Down Periscope,,1996,Comedy,5.6,110,David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider","submarine, u.s. navy, misfit"
79,Up Close & Personal,,1996,"Drama, Romance",5.9,51,Jon Avnet,"Robert Redford, Michelle Pfeiffer, Stockard Channing",
80,The Birdcage,,1996,Comedy,6.7,303,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane","gay, drag queen, homophobia, florida, coming out"
81,Bad Boys,Bad Boys,1995,"Action, Comedy, Crime, Thriller",6.5,1729,Michael Bay,"Will Smith, Martin Lawrence, Téa Leoni","miami, detective, handcuffs, airport, mexican standoff"
82,The Basketball Diaries,,1995,"Crime, Drama",7.2,472,Scott Kalvert,"Leonardo DiCaprio, Lorraine Bracco, James Madio","sport, basketball, addiction, friends, drug"
83,Apollo 13,,1995,Drama,7.3,1637,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon","moon, florida, nasa, race against time, based on true story"
84,Rob Roy,,1995,Adventure,6.5,151,Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt","scotland, biography, 18th century"
85,The Addiction,,1995,"Drama, Horror",6.4,46,Abel Ferrara,"Lili Taylor, Christopher Walken, Annabella Sciorra","new york, philosophy, vampire, blood, student"
86,Batman Forever,Batman,1995,"Action, Crime, Fantasy",5.2,1529,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey","riddle, dc comics, partner, superhero, psychologist"
87,Belle de Jour,,1967,"Drama, Romance",7.3,163,Luis Buñuel,"Catherine Deneuve, Michel Piccoli, Jean Sorel","prostitute, adultery, double life, dual identity, jealousy"
88,Canadian Bacon,,1995,"Action, Comedy",5.9,57,Michael Moore,"John Candy, Alan Alda, Rhea Perlman",
89,Casper,Casper,1995,"Comedy, Family, Fantasy",6.0,1045,Brad Silberling,"Christina Ricci, Bill Pullman, Cathy Moriarty","halloween, friendship, supernatural, afterlife, friends"
90,Clockers,,1995,"Crime, Drama, Mystery",6.8,69,Spike Lee,"Harvey Keitel, John Turturro, Delroy Lindo","train, drug, drug lord"
91,Congo,,1995,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",5.0,214,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson",diamond
92,Crimson Tide,,1995,"Action, Drama, Thriller",7.0,508,Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven","submarine, mutiny, russia, missile, nuclear missile"
93,Crumb,,1994,Documentary,7.6,71,Terry Zwigoff,"Robert Crumb, Aline Kominsky, Charles Crumb","underground, biography, art"
94,Desperado,Mexico Trilogy,1995,"Action, Crime, Thriller",6.8,898,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida","gunslinger, ambush, mexico, showdown, guitar"
95,Devil in a Blue Dress,,1995,"Drama, Mystery, Thriller",6.3,88,Carl Franklin,"Denzel Washington, Tom Sizemore, Jennifer Beals","jazz club, murder, los angeles, private detective, film noir"
96,Die Hard: With a Vengeance,Die Hard,1995,"Action, Thriller",6.9,2094,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson","bomb, taxi, riddle, robbery, detective"
97,The Doom Generation,Teenage Apocalypse Trilogy,1995,"Action, Comedy, Crime, Drama",5.6,57,Gregg Araki,"Rose McGowan, James Duval, Johnathon Schaech","sex, eroticism, nudity, nazis, suspense"
98,First Knight,,1995,"Action, Adventure, Drama, Romance",5.9,319,Jerry Zucker,"Sean Connery, Richard Gere, Julia Ormond",knight
99,Free Willy 2 - The Adventure Home,Free Willy,1995,Adventure,5.5,130,Dwight H. Little,"Jason James Richter, Michael Madsen, Jayne Atkinson","human animal relationship, whale"
100,Hackers,,1995,"Action, Crime, Drama, Thriller",6.2,406,Iain Softley,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford","female nudity, hacker, nudity, computer virus, virtual reality"
101,Johnny Mnemonic,,1995,"Action, Adventure, Drama, Science Fiction, Thriller",5.5,380,Robert Longo,"Keanu Reeves, Dina Meyer, Takeshi Kitano","childhood memory, dystopia, cyberpunk"
102,Judge Dredd,,1995,Science Fiction,5.4,643,Danny Cannon,"Sylvester Stallone, Diane Lane, Armand Assante","judge, post-apocalyptic, dystopia, based on comic, police officer"
103,Kids,,1995,"Crime, Drama",6.8,280,Larry Clark,"Leo Fitzpatrick, Rosario Dawson, Chloë Sevigny","puberty, first time"
104,Living in Oblivion,,1995,"Comedy, Drama",7.2,64,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney","cinema, independent film"
105,Lord of Illusions,,1995,"Horror, Mystery, Thriller",5.9,87,Clive Barker,"Scott Bakula, Kevin J. O'Connor, Famke Janssen","supernatural, resurrection"
106,Mallrats,,1995,"Comedy, Romance",6.8,400,Kevin Smith,"Jason Lee, Jeremy London, Shannen Doherty","sex, aftercreditsstinger"
107,Mighty Morphin Power Rangers: The Movie,Power Rangers,1995,"Action, Adventure, Family, Fantasy, Science Fiction",5.2,153,Bryan Spicer,"Amy Jo Johnson, Jason David Frank, David Yost","based on tv series, superhero team"
108,The Net,Síť (kolekce),1995,"Action, Crime, Drama, Mystery, Thriller",5.6,359,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller","cheating, new identity, computer virus, chase, computer"
109,Nine Months,,1995,Comedy,5.5,171,Chris Columbus,"Hugh Grant, Julianne Moore, Tom Arnold","parent child relationship, baby, marriage, pregnancy"
110,The Prophecy,The Prophecy,1995,"Fantasy, Horror, Thriller",6.4,139,Gregory Widen,"Christopher Walken, Elias Koteas, Virginia Madsen",angel
111,Safe,,1995,Drama,7.2,62,Todd Haynes,"Julianne Moore, Xander Berkeley, Dean Norris","sex, medicine, housewife, quarantine, independent film"
112,The Scarlet Letter,,1995,"Drama, History, Romance",5.5,111,Roland Joffé,"Demi Moore, Gary Oldman, Robert Duvall","based on novel, pregnancy, period drama, extramarital affair"
113,Showgirls,Showgirls,1995,Drama,4.9,261,Paul Verhoeven,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon","dancing, female nudity, seduction"
114,Smoke,Brooklyn Cigar Store,1995,"Comedy, Drama",7.2,115,Wayne Wang,"Harvey Keitel, William Hurt, Giancarlo Esposito","smoking, independent film, writer"
115,Something to Talk About,,1995,Comedy,5.7,60,Lasse Hallström,"Julia Roberts, Dennis Quaid, Robert Duvall","horse, based on true story, family"
116,Species,Species,1995,"Action, Horror, Science Fiction",5.5,457,Roger Donaldson,"Natasha Henstridge, Ben Kingsley, Michael Madsen","telepathy, dna, paranoia, genetics, femme fatale"
117,Strange Days,,1995,"Crime, Drama, Science Fiction, Thriller",6.8,334,Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Tom Sizemore","pornography, prostitute, rape, police brutality, dream"
118,The Umbrellas of Cherbourg,,1964,"Drama, Romance",7.6,119,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon","letter, musical, war, single"
119,Total Eclipse,,1995,"Drama, Romance",6.5,112,Agnieszka Holland,"Leonardo DiCaprio, David Thewlis, Romane Bohringer","mentor, poet, woman director"
120,"To Wong Foo, Thanks for Everything! Julie Newmar",,1995,Comedy,6.3,117,Beeban Kidron,"Patrick Swayze, Wesley Snipes, John Leguizamo","transvestism, gay, new york, drag queen, homophobia"
121,Under Siege 2: Dark Territory,Under Siege,1995,"Action, Thriller",5.6,217,Geoff Murphy,"Steven Seagal, Eric Bogosian, Everett McGill","terrorist, satellite, train"
122,A Walk in the Clouds,,1995,"Drama, Romance",6.5,168,Alfonso Aráu,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn","world war ii, love, remake, pregnancy"
123,Waterworld,,1995,"Action, Adventure",5.9,1017,Kevin Reynolds,"Kevin Costner, Chaim Girafi, Rick Aviles","ocean, tattoo, mutant, water, dystopia"
124,Before the Rain,,1994,"Drama, War",7.7,45,Milčo Mančevski,"Katrin Cartlidge, Rade Serbedzija, Grégoire Colin","monk, mountain, restaurant, christian, girl"
125,Before Sunrise,Before...,1995,"Drama, Romance",7.7,984,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",soulmates
126,Billy Madison,,1995,Comedy,6.2,464,Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson",woman director
127,Boys on the Side,,1995,"Comedy, Drama",6.3,48,Herbert Ross,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore","aids, roommate, homicide, car journey, friendship"
128,The Cure,,1995,"Drama, Family",7.2,58,Peter Horton,"Brad Renfro, Joseph Mazzello, Annabella Sciorra",mississippi
129,Castle Freak,,1995,"Drama, Horror, Mystery, Thriller",5.8,40,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Jonathan Fuller","castle, voyeurism"
130,Clerks,Clerks,1994,Comedy,7.4,769,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Jason Mewes","loser, aftercreditsstinger"
131,Don Juan DeMarco,,1994,"Comedy, Drama, Romance",6.3,184,Jeremy Leven,"Johnny Depp, Marlon Brando, Faye Dunaway","love, mental institution, patient, psychiatrist"
132,Disclosure,,1994,"Crime, Drama, Mystery, Romance, Thriller",5.9,217,Barry Levinson,"Michael Douglas, Demi Moore, Donald Sutherland",intrigue
133,Drop Zone,,1994,"Action, Adventure, Thriller",5.1,91,John Badham,"Wesley Snipes, Gary Busey, Yancy Butler","terrorist, airplane, suspense"
134,Death and the Maiden,,1994,"Drama, Mystery, Thriller",7.1,92,Roman Polanski,"Sigourney Weaver, Ben Kingsley, Stuart Wilson","married couple, revenge, doctor, torture, humiliation"
135,Dolores Claiborne,,1995,"Crime, Drama, Mystery",7.1,183,Taylor Hackford,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt","child abuse, detective, based on novel, bar, island"
136,Dumb and Dumber,Dumb and Dumber,1994,Comedy,6.5,1894,Peter Farrelly,"Jim Carrey, Jeff Daniels, Lauren Holly","gas station, motel, stupidity, prank, cigar smoking"
137,Eat Drink Man Woman,,1994,"Comedy, Drama, Romance",7.5,76,Ang Lee,"Sihung Lung, Yu-Wen Wang, Jacklyn Wu ","cooking, daughter, dating, family"
138,Exotica,,1994,"Drama, Mystery",6.5,64,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Elias Koteas","secret, nightclub, independent film, unhappiness"
139,Ed Wood,,1994,"Comedy, Drama, History",7.3,639,Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker","individual, taxi, fortune teller, film business, film making"
140,French Kiss,,1995,"Comedy, Romance",6.2,179,Lawrence Kasdan,"Meg Ryan, Kevin Kline, Timothy Hutton","paris, airport, in love with enemy, smuggling"
141,A Goofy Movie,A Goofy Movie,1995,"Adventure, Animation, Comedy, Family, Romance",6.7,404,Kevin Lima,"Bill Farmer, Jason Marsden, Rob Paulsen","father son relationship, musical, celebrity, road trip, first love"
142,Fluke,,1995,"Drama, Family, Fantasy",6.6,48,Carlo Carlei,"Samuel L. Jackson, Matthew Modine, Nancy Travis","father son relationship, based on novel, reincarnation, car accident, dog"
143,Hoop Dreams,,1994,Documentary,7.7,91,Steve James,"William Gates, Arthur Agee, Steve James","chicago, sports team, ghetto, narration, college"
144,Heavenly Creatures,,1994,"Drama, Fantasy",6.9,299,Peter Jackson,"Melanie Lynskey, Kate Winslet, Sarah Peirse","mother, sex, secret, obsession, literature"
145,Immortal Beloved,,1994,"Drama, Romance",6.9,90,Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini",
146,Heavyweights,,1995,"Comedy, Drama, Family",6.0,97,Steven Brill,"Ben Stiller, Aaron Schwartz, Kenan Thompson",summer camp
147,I.Q.,,1994,"Comedy, Drama, Romance",5.9,112,Fred Schepisi,"Tim Robbins, Meg Ryan, Walter Matthau",comet
148,Interview with the Vampire,The Vampire Chronicles,1994,"Horror, Romance",7.2,1558,Neil Jordan,"Brad Pitt, Tom Cruise, Kirsten Dunst","paris, san francisco, vampire, plantation, bite"
149,Junior,,1994,"Comedy, Family, Romance",4.7,381,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson","baby, medicine, pregnancy, scientist, science"
150,Just Cause,,1995,"Action, Drama, Mystery, Thriller",6.0,124,Arne Glimcher,"Sean Connery, Laurence Fishburne, Blair Underwood","rape, black people, florida, professor, innocence"
151,A Kid in King Arthur's Court,,1995,"Adventure, Comedy, Family, Fantasy, Science Fiction",4.3,40,Michael Gottlieb,"Thomas Ian Nicholas, Joss Ackland, Art Malik","time travel, kids"
152,Kiss of Death,,1995,"Action, Crime, Drama, Thriller",5.7,83,Barbet Schroeder,"David Caruso, Samuel L. Jackson, Nicolas Cage",hoodlum
153,Star Wars,Star Wars,1977,"Action, Adventure, Science Fiction",8.1,6778,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","android, rescue mission, rebellion, planet, space opera"
154,Little Women,,1994,"Drama, Romance",7.0,222,Gillian Armstrong,"Winona Ryder, Gabriel Byrne, Trini Alvarado","depression, mother daughter relationship, pregnant, desire, woman director"
155,A Little Princess,,1995,"Drama, Family, Fantasy",7.4,207,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham","based on novel, servant, private school, female friendship, boarding school"
156,Like Water for Chocolate,,1992,"Drama, Romance",6.6,70,Alfonso Aráu,"Marco Leonardi, Lumi Cavazos, Regina Torné","jealousy, sister sister relationship, cooking, marriage, wedding"
157,Legends of the Fall,,1994,"Adventure, Drama, Romance, War",7.2,636,Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn","brother brother relationship, based on novel, world war i"
158,Major Payne,,1995,"Adventure, Comedy, Family",6.1,164,Nick Castle,"Damon Wayans, Orlando Brown, Michael Ironside",
159,The Madness of King George,,1994,"Comedy, Drama, History",6.7,67,Nicholas Hytner,"Nigel Hawthorne, Helen Mirren, Ian Holm","queen, kingdom, biography, victorian england, psychopathy"
160,Mary Shelley's Frankenstein,,1994,"Drama, Horror, Romance, Science Fiction",6.1,272,Kenneth Branagh,"Robert De Niro, Kenneth Branagh, Tom Hulce","human experimentation, frankenstein, remake"
161,Man of the House,,1995,"Action, Comedy, Family",5.1,40,James Orr,"Farrah Fawcett, Chevy Chase, Jonathan Taylor Thomas",
162,Milk Money,,1994,"Comedy, Romance",5.6,49,Richard Benjamin,"Melanie Griffith, Ed Harris, Michael Patrick Carter","prostitute, stripper"
163,Miracle on 34th Street,,1994,"Drama, Family, Fantasy",6.4,199,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott","holiday, competition, new love, santa claus, department store"
